Date,Open,High,Low,Close,Adj Close,Volume
2022-07-11,20856.35352,20856.35352,19924.53906,19970.55664,19970.55664,24150249025
2022-07-12,19970.47461,20043.44531,19308.53125,19323.91406,19323.91406,25810220018
2022-07-13,19325.97266,20223.05273,18999.95313,20212.07422,20212.07422,33042430345
2022-07-14,20211.4668,20789.89453,19689.25781,20569.91992,20569.91992,31158743333
2022-07-15,20573.15625,21138.24414,20397,20836.32813,20836.32813,25905575359
2022-07-16,20834.10352,21514.4043,20518.89844,21190.31641,21190.31641,24302954056
2022-07-17,21195.04102,21600.64063,20778.17969,20779.34375,20779.34375,22927802083
2022-07-18,20781.91211,22633.0332,20781.91211,22485.68945,22485.68945,39974475562
2022-07-19,22467.84961,23666.96289,21683.40625,23389.43359,23389.43359,48765202697
2022-07-20,23393.19141,24196.81836,23009.94922,23231.73242,23231.73242,42932549127
2022-07-21,23233.20117,23388.32227,22431.14844,23164.62891,23164.62891,33631012204
2022-07-22,23163.75195,23671.92773,22603.41602,22714.97852,22714.97852,31421555646
2022-07-23,22706.98438,22977.21094,22002.91016,22465.47852,22465.47852,24021799169
2022-07-24,22465.50977,22974.00195,22306.83984,22609.16406,22609.16406,23565495303
2022-07-25,22607.15625,22649.12109,21361.64258,21361.70117,21361.70117,35574561406
2022-07-26,21361.12109,21361.12109,20776.81641,21239.75391,21239.75391,28624673855
2022-07-27,21244.16992,22986.5293,21070.80664,22930.54883,22930.54883,31758955233
2022-07-28,22933.64063,24110.4707,22722.26563,23843.88672,23843.88672,40212386158
2022-07-29,23845.21289,24294.78711,23481.17383,23804.63281,23804.63281,35887249746
2022-07-30,23796.81836,24572.58008,23580.50781,23656.20703,23656.20703,28148218301
2022-07-31,23652.07031,24121.64258,23275.70313,23336.89648,23336.89648,23553591896
2022-08-01,23336.71875,23464.78711,22890.79688,23314.19922,23314.19922,25849159141
2022-08-02,23308.43359,23415.04102,22710.08398,22978.11719,22978.11719,28389250717
2022-08-03,22981.30273,23578.65039,22747.83594,22846.50781,22846.50781,26288169966
