Date,Open,High,Low,Close,Adj Close,Volume,Stock
2022-07-06,20194.61914,20595.53,19823.51,20548.24609,20548.24609,24598943708,BTCUSD
2022-07-07,20547.81445,21771.82,20296.1,21637.58789,21637.58789,25814972520,BTCUSD
2022-07-08,21637.1543,22314.94,21257.45,21731.11719,21731.11719,49899834488,BTCUSD
2022-07-09,21716.82813,21877.14,21445.96,21592.20703,21592.20703,29641127858,BTCUSD
2022-07-10,21591.08008,21591.08,20727.12,20860.44922,20860.44922,28688807249,BTCUSD
2022-07-11,20856.35352,20856.35,19924.54,19970.55664,19970.55664,24150249025,BTCUSD
2022-07-12,19970.47461,20043.45,19308.53,19323.91406,19323.91406,25810220018,BTCUSD
2022-07-13,19325.97266,20223.05,18999.95,20212.07422,20212.07422,33042430345,BTCUSD
2022-07-14,20211.4668,20789.89,19689.26,20569.91992,20569.91992,31158743333,BTCUSD
2022-07-15,20573.15625,21138.24,20397,20836.32813,20836.32813,25905575359,BTCUSD
2022-07-16,20834.10352,21514.4,20518.9,21190.31641,21190.31641,24302954056,BTCUSD
2022-07-17,21195.04102,21600.64,20778.18,20779.34375,20779.34375,22927802083,BTCUSD
2022-07-18,20781.91211,22633.03,20781.91,22485.68945,22485.68945,39974475562,BTCUSD
2022-07-19,22467.84961,23666.96,21683.41,23389.43359,23389.43359,48765202697,BTCUSD
2022-07-20,23393.19141,24196.82,23009.95,23231.73242,23231.73242,42932549127,BTCUSD
2022-07-21,23233.20117,23388.32,22431.15,23164.62891,23164.62891,33631012204,BTCUSD
2022-07-22,23163.75195,23671.93,22603.42,22714.97852,22714.97852,31421555646,BTCUSD
2022-07-23,22706.98438,22977.21,22002.91,22465.47852,22465.47852,24021799169,BTCUSD
2022-07-24,22465.50977,22974,22306.84,22609.16406,22609.16406,23565495303,BTCUSD
2022-07-25,22607.15625,22649.12,21361.64,21361.70117,21361.70117,35574561406,BTCUSD
2022-07-26,21361.12109,21361.12,20776.82,21239.75391,21239.75391,28624673855,BTCUSD
2022-07-27,21244.16992,22986.53,21070.81,22930.54883,22930.54883,31758955233,BTCUSD
2022-07-28,22933.64063,24110.47,22722.27,23843.88672,23843.88672,40212386158,BTCUSD
2022-07-29,23845.21289,24294.79,23481.17,23804.63281,23804.63281,35887249746,BTCUSD
2022-07-30,23796.81836,24572.58,23580.51,23656.20703,23656.20703,28148218301,BTCUSD
2022-07-31,23652.07031,24121.64,23275.7,23336.89648,23336.89648,23553591896,BTCUSD
2022-08-01,23336.71875,23464.79,22890.8,23314.19922,23314.19922,25849159141,BTCUSD
2022-08-02,23308.43359,23415.04,22710.08,22978.11719,22978.11719,28389250717,BTCUSD
2022-08-03,22981.30273,23578.65,22747.84,22846.50781,22846.50781,26288169966,BTCUSD
2022-08-04,22848.21484,23198.01,22485.7,22630.95703,22630.95703,25120229769,BTCUSD
2022-08-05,22626.83398,23422.83,22612.18,23289.31445,23289.31445,28881249043,BTCUSD
2022-08-06,23291.42383,23326.56,22961.28,22961.2793,22961.2793,15978259885,BTCUSD
2022-08-07,22963.50586,23359.01,22894.56,23175.89063,23175.89063,15886817043,BTCUSD
2022-08-08,23179.52734,24203.69,23176.55,23809.48633,23809.48633,28575544847,BTCUSD
2022-08-09,23811.48438,23898.62,22982,23164.31836,23164.31836,23555719219,BTCUSD
2022-08-10,23162.89844,24127.41,22771.52,23947.64258,23947.64258,32837431722,BTCUSD
2022-08-11,23948.3457,24822.63,23901,23957.5293,23957.5293,37127036580,BTCUSD
2022-08-12,23957.20313,24412.57,23657.27,24402.81836,24402.81836,27265804688,BTCUSD
2022-08-13,24402.1875,24860.05,24346.12,24424.06836,24424.06836,22987346289,BTCUSD
2022-08-14,24429.05664,24974.91,24206.26,24319.33398,24319.33398,22994133555,BTCUSD
2022-08-15,24318.31641,25135.59,23839.78,24136.97266,24136.97266,35123501685,BTCUSD
2022-08-16,24126.13672,24228.42,23733.5,23883.29102,23883.29102,27753685646,BTCUSD
2022-08-17,23881.31641,24407.06,23243.35,23335.99805,23335.99805,30931623076,BTCUSD
2022-08-18,23341.03906,23563.83,23177.6,23212.73828,23212.73828,23747613147,BTCUSD
2022-08-19,23213.3125,23213.31,20868.85,20877.55273,20877.55273,40509610260,BTCUSD
2022-08-20,20872.8418,21350.81,20856.73,21166.06055,21166.06055,27595671000,BTCUSD
2022-08-21,21160.39258,21668.85,21103.2,21534.12109,21534.12109,23102307723,BTCUSD
2022-08-22,21531.46289,21531.46,20939.18,21398.9082,21398.9082,31666498758,BTCUSD
2022-08-23,21401.04492,21646.2,20955.14,21528.08789,21528.08789,31878280659,BTCUSD
2022-08-24,21526.45508,21783.08,21195.01,21395.01953,21395.01953,31962253368,BTCUSD
2022-08-25,21395.45898,21789.64,21362.44,21600.9043,21600.9043,31028679593,BTCUSD
2022-08-26,21596.08594,21804.91,20199.48,20260.01953,20260.01953,42326789564,BTCUSD
2022-08-27,20262.48047,20340.78,19890.52,20041.73828,20041.73828,30116729776,BTCUSD
2022-08-28,20041.03516,20139.05,19616.81,19616.81445,19616.81445,24366810591,BTCUSD
2022-08-29,19615.1543,20357.46,19600.79,20297.99414,20297.99414,32637854078,BTCUSD
2022-08-30,20298.61133,20542.64,19617.64,19796.80859,19796.80859,34483360283,BTCUSD
2022-08-31,19799.58203,20420.99,19799.58,20049.76367,20049.76367,33225232872,BTCUSD
2022-09-01,20050.49805,20198.39,19653.97,20127.14063,20127.14063,30182031010,BTCUSD
2022-09-02,20126.07227,20401.57,19814.77,19969.77148,19969.77148,29123998928,BTCUSD
2022-09-03,19969.71875,20037.01,19698.36,19832.08789,19832.08789,23613051457,BTCUSD
2022-09-04,19832.4707,19999.69,19636.82,19986.71289,19986.71289,25245861652,BTCUSD
2022-09-05,19988.78906,20031.16,19673.05,19812.37109,19812.37109,28813460025,BTCUSD
2022-09-06,19817.72461,20155.27,18800.17,18837.66797,18837.66797,43403978910,BTCUSD
2022-09-07,18837.68359,19427.17,18644.47,19290.32422,19290.32422,35239757134,BTCUSD
2022-09-08,19289.94141,19417.35,19076.71,19329.83398,19329.83398,32194477850,BTCUSD
2022-09-09,19328.14063,21439.41,19310.96,21381.15234,21381.15234,48469528171,BTCUSD
2022-09-10,21376.91211,21760.28,21168.72,21680.53906,21680.53906,36913738894,BTCUSD
2022-09-11,21678.54297,21770.55,21406.95,21769.25586,21769.25586,34493951963,BTCUSD
2022-09-12,21770.14844,22439.18,21603.9,22370.44922,22370.44922,50212088965,BTCUSD
2022-09-13,22371.48047,22673.82,20062.67,20296.70703,20296.70703,51091116622,BTCUSD
2022-09-14,20184.55469,20467.2,19793.4,20241.08984,20241.08984,37872380889,BTCUSD
2022-09-15,20242.28906,20318.17,19636.73,19701.21094,19701.21094,36389011503,BTCUSD
2022-09-16,19704.00586,19870.63,19400.08,19772.58398,19772.58398,30123362273,BTCUSD
2022-09-17,19777.0332,20162.53,19777.03,20127.57617,20127.57617,24957448100,BTCUSD
2022-09-18,20127.23438,20127.23,19387.49,19419.50586,19419.50586,31254779144,BTCUSD
2022-09-19,19418.57227,19639.48,18390.32,19544.12891,19544.12891,40177002624,BTCUSD
2022-09-20,19545.5918,19602.46,18813.46,18890.78906,18890.78906,36791346508,BTCUSD
2022-09-21,18891.2832,19674.63,18290.31,18547.40039,18547.40039,46363793975,BTCUSD
2022-09-22,18534.65039,19456.91,18415.59,19413.55078,19413.55078,41135767926,BTCUSD
2022-09-23,19412.40039,19464.67,18617.55,19297.63867,19297.63867,38896078052,BTCUSD
2022-09-24,19296.99023,19310.2,18861.97,18937.01172,18937.01172,26149643168,BTCUSD
2022-09-25,18936.31055,19134.73,18696.47,18802.09766,18802.09766,23359966112,BTCUSD
2022-09-26,18803.90039,19274.87,18721.29,19222.67188,19222.67188,44148798321,BTCUSD
2022-09-27,19221.83984,20338.46,18915.67,19110.54688,19110.54688,58571439619,BTCUSD
2022-09-28,19104.62109,19688.34,18553.3,19426.7207,19426.7207,53071298734,BTCUSD
2022-09-29,19427.7793,19589.27,18924.35,19573.05078,19573.05078,41037843771,BTCUSD
2022-09-30,19573.43164,20109.85,19265.66,19431.78906,19431.78906,43975248085,BTCUSD
2022-10-01,19431.10547,19471.15,19231.08,19312.0957,19312.0957,18719537670,BTCUSD
2022-10-02,19311.84961,19370.31,18970.62,19044.10742,19044.10742,20765955327,BTCUSD
2022-10-03,19044.06836,19653.54,19025.23,19623.58008,19623.58008,30484729489,BTCUSD
2022-10-04,19623.58398,20380.34,19523.84,20336.84375,20336.84375,35887278685,BTCUSD
2022-10-05,20335.90039,20343.75,19801.8,20160.7168,20160.7168,33223790572,BTCUSD
2022-10-06,20161.03906,20408.39,19900.09,19955.44336,19955.44336,34711412966,BTCUSD
2022-10-07,19957.55859,20041.09,19395.79,19546.84961,19546.84961,29227315390,BTCUSD
2022-10-08,19546.32813,19601.7,19299.41,19416.56836,19416.56836,16437423167,BTCUSD
2022-10-09,19417.47852,19542.54,19349.26,19446.42578,19446.42578,16837262532,BTCUSD
2022-10-10,19446.41602,19515.47,19102.98,19141.48438,19141.48438,27425022774,BTCUSD
2022-10-11,19139,19241.96,18925.6,19051.41797,19051.41797,28711532910,BTCUSD
2022-10-12,19052.64648,19203.2,19029.76,19157.44531,19157.44531,24950173846,BTCUSD
2022-10-13,19156.9668,19453.33,18319.82,19382.9043,19382.9043,44219840004,BTCUSD
2022-10-14,19382.5332,19889.15,19115.41,19185.65625,19185.65625,38452356727,BTCUSD
2022-10-15,19185.4375,19212.54,19019.25,19067.63477,19067.63477,16192235532,BTCUSD
2022-10-16,19068.91406,19389.6,19068.91,19268.09375,19268.09375,17988916650,BTCUSD
2022-10-17,19268.5625,19635.8,19173.33,19550.75781,19550.75781,27472552998,BTCUSD
2022-10-18,19550.4668,19666.99,19144.77,19334.41602,19334.41602,30580012344,BTCUSD
2022-10-19,19335.02734,19348.42,19127.69,19139.53516,19139.53516,22425387184,BTCUSD
2022-10-20,19138.08594,19315.2,18971.46,19053.74023,19053.74023,24493974420,BTCUSD
2022-10-21,19053.20313,19237.38,18770.97,19172.46875,19172.46875,32459287866,BTCUSD
2022-10-22,19172.38086,19248.07,19132.24,19208.18945,19208.18945,16104440957,BTCUSD
2022-10-23,19207.73438,19646.65,19124.2,19567.00781,19567.00781,22128794335,BTCUSD
2022-10-24,19567.76953,19589.13,19206.32,19345.57227,19345.57227,30202235805,BTCUSD
2022-10-25,19344.96484,20348.41,19261.45,20095.85742,20095.85742,47761524910,BTCUSD
2022-10-26,20092.23633,20938.13,20076.12,20770.44141,20770.44141,58895950537,BTCUSD
2022-10-27,20772.80273,20854.04,20255.37,20285.83594,20285.83594,49625110402,BTCUSD
2022-10-28,20287.95703,20724.98,20086.07,20595.35156,20595.35156,43994715910,BTCUSD
2022-10-29,20595.10352,20988.39,20566.48,20818.47656,20818.47656,40369840645,BTCUSD
2022-10-30,20817.98242,20917.01,20547.46,20635.60352,20635.60352,31486345556,BTCUSD
2022-10-31,20633.69531,20795.32,20287.46,20495.77344,20495.77344,45668466815,BTCUSD
2022-11-01,20494.89844,20647.29,20359.85,20485.27344,20485.27344,39819303159,BTCUSD
2022-11-02,20482.95898,20742.81,20087.13,20159.50391,20159.50391,55552169483,BTCUSD
2022-11-03,20162.68945,20382.1,20086.24,20209.98828,20209.98828,43228750179,BTCUSD
2022-11-04,20208.76953,21209.56,20188.02,21147.23047,21147.23047,64072727950,BTCUSD
